2025-09-22 14:15:03 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:15:06 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:24:36 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-22 14:24:42 | handlers | DEBUG | -1003065205593 | Функция overtime_command() выполнена
2025-09-22 14:24:49 | handlers | DEBUG | -1003065205593 | Функция start_command() выполнена
2025-09-22 14:24:53 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-22 14:25:00 | handlers | DEBUG | -1003065205593 | Функция cosmetics_command() выполнена
2025-09-22 14:25:01 | handlers | DEBUG | -1003065205593 | 2 | ✅ Эмодзи изменен: 👨‍🌾
2025-09-22 14:25:02 | handlers | DEBUG | -1003065205593 | Функция cosmetics_select() выполнена
2025-09-22 14:25:02 | handlers | DEBUG | -1003065205593 | 2 | ✅ Эмодзи изменен: 🧑‍🌾
2025-09-22 14:25:03 | handlers | DEBUG | -1003065205593 | Функция cosmetics_select() выполнена
2025-09-22 14:25:18 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:25:44 | handlers | DEBUG | -1003065205593 | 2 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:25:44 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:25:48 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:27:13 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:27:15 | handlers | DEBUG | -1003065205593 | 1 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:27:15 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:27:16 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:27:17 | handlers | DEBUG | -1003065205593 | 1 | 🎯 Попадание! 1/4
2025-09-22 14:27:17 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:27:18 | handlers | DEBUG | -1003065205593 | 1 | 🎯 Попадание! 2/4
2025-09-22 14:27:18 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:27:19 | handlers | DEBUG | -1003065205593 | 1 | 🎯 Попадание! 3/4
2025-09-22 14:27:19 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:27:20 | handlers | DEBUG | -1003065205593 | 1 | 💼 Работа завершена!
2025-09-22 14:27:20 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:27:38 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:27:39 | handlers | DEBUG | -1003065205593 | 2 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:27:39 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:27:42 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:27:47 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:32:54 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:32:55 | handlers | DEBUG | -1003065205593 | 1 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:32:55 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:32:56 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:32:57 | handlers | DEBUG | -1003065205593 | 1 | 🎯 Попадание! 1/4
2025-09-22 14:32:57 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:32:58 | handlers | DEBUG | -1003065205593 | 1 | 🎯 Попадание! 2/4
2025-09-22 14:32:58 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:32:59 | handlers | DEBUG | -1003065205593 | 1 | 🎯 Попадание! 3/4
2025-09-22 14:32:59 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:00 | handlers | DEBUG | -1003065205593 | 1 | 💼 Работа завершена!
2025-09-22 14:33:00 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:17 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:33:19 | handlers | DEBUG | -1003065205593 | 2 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:33:19 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:33:21 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:33:23 | handlers | DEBUG | -1003065205593 | 2 | 🎯 Попадание! 1/4
2025-09-22 14:33:23 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:23 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:33:24 | handlers | DEBUG | -1003065205593 | 2 | 🎯 Попадание! 2/4
2025-09-22 14:33:24 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:25 | handlers | DEBUG | -1003065205593 | 2 | 🎯 Попадание! 3/4
2025-09-22 14:33:25 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:26 | handlers | DEBUG | -1003065205593 | 2 | 💀 Промах!
2025-09-22 14:33:26 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:26 | handlers | DEBUG | -1003065205593 | 3 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:33:26 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:33:33 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:33:35 | handlers | DEBUG | -1003065205593 | 3 | 🎯 Попадание! 1/4
2025-09-22 14:33:35 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:36 | handlers | DEBUG | -1003065205593 | 3 | 🎯 Попадание! 2/4
2025-09-22 14:33:36 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:37 | handlers | DEBUG | -1003065205593 | 3 | 🎯 Попадание! 3/4
2025-09-22 14:33:37 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:33:38 | handlers | DEBUG | -1003065205593 | 3 | 💼 Работа завершена!
2025-09-22 14:33:38 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:34:09 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
